record_id,delivery_id,package_type,vehicle_type,region,weather_condition,distance_km,distance_group,delivery_time_hours_clean,expected_time_hours_clean,delayed,delivery_status,delivery_rating,delivery_cost
31,250.99,furniture,bike,south,hot,295,250+ km,9,24,no,delivered,5,1534.04
32,250.99,cosmetics,truck,central,rainy,223.3,200–249 km,10,8,yes,failed,1,1235.37
33,250.99,automobile parts,scooter,south,hot,242.5,200–249 km,10,6,yes,failed,1,1402.69
34,250.99,furniture,ev bike,central,rainy,35.1,0–49 km,8,16,no,delivered,5,243.66
35,250.99,clothing,bike,central,stormy,81.8,50–99 km,5,3,yes,delayed,2,595.53
36,250.99,documents,bike,east,clear,37.6,0–49 km,3,8,no,delivered,4,356.43
37,250.99,furniture,ev bike,north,rainy,46.8,0–49 km,5,2,yes,delayed,2,298.16
38,250.99,electronics,scooter,central,hot,233.4,200–249 km,5,8,no,delivered,5,1321
39,250.99,documents,bike,east,rainy,62.2,50–99 km,7,24,no,delivered,3,456.74
40,250.99,clothing,ev bike,south,foggy,114,100–149 km,6,24,no,delivered,4,701.55
41,250.99,automobile parts,ev bike,north,foggy,131.5,100–149 km,6,8,no,delivered,5,834.87
42,250.99,groceries,ev van,south,rainy,21.4,0–49 km,3,2,yes,delayed,3,206.74
43,250.99,fragile items,truck,west,stormy,258.5,250+ km,7,24,no,delivered,5,1317.61
44,250.99,furniture,van,east,rainy,253.9,250+ km,9,16,no,delivered,3,1290.71
45,250.99,furniture,ev bike,north,stormy,6.7,0–49 km,6,8,no,delivered,4,157.38
46,250.99,automobile parts,ev bike,west,hot,178.1,150–199 km,5,24,no,delivered,4,970.6
47,250.99,cosmetics,truck,south,hot,180,150–199 km,4,24,no,delivered,3,1005.12
48,250.99,documents,scooter,north,rainy,187.9,150–199 km,11,16,no,delivered,4,984.38
49,250.99,documents,ev van,west,hot,78.3,50–99 km,4,3,yes,failed,1,589.16
50,250.99,pharmacy,ev bike,west,hot,51.6,50–99 km,2,3,no,delivered,4,378.35
51,250.99,electronics,ev van,central,stormy,26.9,0–49 km,5,8,no,delivered,5,324.08
52,250.99,clothing,truck,north,hot,216.7,200–249 km,7,6,yes,delayed,2,1214.17
53,250.99,electronics,van,south,foggy,148.2,100–149 km,5,24,no,delivered,4,856.8
54,250.99,cosmetics,ev van,south,clear,184.2,150–199 km,5,8,no,delivered,4,1161.37
55,250.99,groceries,truck,east,stormy,167.7,150–199 km,7,8,no,delivered,5,1065.7
56,250.99,electronics,ev bike,central,cold,197.7,150–199 km,9,24,no,delivered,5,1066.02
57,250.99,cosmetics,ev van,north,foggy,211.9,200–249 km,7,24,no,delivered,5,1200.32
58,250.99,pharmacy,scooter,west,stormy,64.3,50–99 km,6,8,no,delivered,5,484.65
59,250.99,cosmetics,scooter,east,hot,206.7,200–249 km,3,16,no,delivered,4,1045.11
60,250.99,clothing,bike,east,cold,83.5,50–99 km,3,16,no,delivered,5,437.93
61,250.99,fragile items,truck,central,foggy,9.3,0–49 km,3,8,no,delivered,5,289.36
62,250.99,clothing,ev bike,west,rainy,245.9,200–249 km,12,24,no,delivered,3,1370.53
63,250.99,pharmacy,ev van,north,stormy,225.7,200–249 km,8,6,yes,delayed,2,1315.6
64,250.99,pharmacy,bike,east,hot,226,200–249 km,7,6,yes,delayed,2,1292.86
65,250.99,clothing,bike,west,hot,113.3,100–149 km,4,16,no,delivered,5,668.59
66,250.99,groceries,ev bike,north,stormy,232.3,200–249 km,12,24,no,delivered,4,1287.23
67,250.99,electronics,scooter,east,cold,87.7,50–99 km,4,3,yes,failed,2,555.64
68,250.99,furniture,van,east,rainy,90.1,50–99 km,6,8,no,delivered,4,632.88
69,250.99,cosmetics,bike,north,rainy,110.4,100–149 km,6,4,yes,delayed,2,736.82
70,250.99,documents,bike,central,cold,217.3,200–249 km,6,8,no,delivered,5,1195.59
71,250.99,furniture,truck,south,rainy,75.2,50–99 km,6,24,no,delivered,3,460.75
72,250.99,automobile parts,ev bike,south,hot,23.2,0–49 km,2,16,no,delivered,5,173.54
73,250.99,documents,ev van,north,rainy,78.5,50–99 km,8,3,yes,delayed,3,526.11
74,250.99,documents,van,north,hot,138.3,100–149 km,8,4,yes,delayed,3,885.11
75,250.99,clothing,truck,north,cold,96.4,50–99 km,3,16,no,delivered,4,599.99
76,250.99,furniture,ev van,west,cold,216.2,200–249 km,11,24,no,delivered,4,1152.79
77,250.99,clothing,van,south,stormy,24.1,0–49 km,7,2,yes,delayed,3,272.8
78,250.99,fragile items,scooter,east,rainy,197.1,150–199 km,13,24,no,delivered,4,1070.19
79,250.99,documents,ev bike,west,foggy,94.8,50–99 km,2,8,no,delivered,4,604.06
80,250.99,pharmacy,bike,south,hot,56,50–99 km,3,3,yes,delayed,2,398.73
81,250.99,clothing,scooter,east,stormy,70.7,50–99 km,8,8,yes,delayed,3,470.66
82,250.99,documents,bike,east,rainy,60.4,50–99 km,6,8,no,delivered,5,470.79
83,250.99,clothing,truck,central,stormy,258.4,250+ km,9,8,yes,failed,2,1458.24
84,250.99,furniture,scooter,central,cold,89.3,50–99 km,4,16,no,delivered,4,551.44
85,250.99,electronics,van,south,clear,244,200–249 km,7,16,no,delivered,4,1260.86
86,250.99,electronics,truck,south,stormy,87.8,50–99 km,8,24,no,delivered,4,498.31
87,250.99,furniture,scooter,east,stormy,3.6,0–49 km,3,8,no,delivered,4,172.6
88,250.99,furniture,van,south,cold,3.6,0–49 km,0,16,no,delivered,3,95.6674
89,250.99,documents,van,east,rainy,111,100–149 km,9,24,no,delivered,4,665.04
90,250.99,groceries,bike,east,rainy,256.4,250+ km,11,7,yes,delayed,3,1432.59
91,250.99,groceries,ev van,east,foggy,177.9,150–199 km,7,8,no,delivered,5,1049.98
92,250.99,cosmetics,ev van,east,rainy,204.2,200–249 km,9,16,no,delivered,4,1045.27
93,250.99,furniture,ev bike,central,cold,125,100–149 km,4,24,no,delivered,5,743.23
94,250.99,fragile items,bike,north,hot,83.3,50–99 km,4,16,no,delivered,4,520.63
95,250.99,clothing,van,west,foggy,193.2,150–199 km,7,24,no,delivered,4,1065.84
96,250.99,clothing,van,east,foggy,174.3,150–199 km,10,16,no,delivered,5,1013.37
97,250.99,groceries,bike,west,clear,11.4,0–49 km,1,8,no,delivered,5,277.66
98,250.99,electronics,ev van,east,clear,166.4,150–199 km,6,5,yes,delayed,2,1016.88
99,250.99,cosmetics,van,west,stormy,189.6,150–199 km,11,24,no,delivered,5,1062.21
100,250.99,groceries,truck,west,stormy,111.2,100–149 km,6,4,yes,delayed,2,717.99
101,250.99,groceries,ev bike,west,hot,103.2,100–149 km,4,8,no,delivered,5,729.91
102,250.99,furniture,scooter,east,clear,236.4,200–249 km,9,24,no,delivered,4,1323.84
103,250.99,electronics,van,central,clear,111.9,100–149 km,5,8,no,delivered,5,738.52
104,250.99,groceries,ev van,south,stormy,86.6,50–99 km,8,24,no,delivered,5,494.92
105,250.99,automobile parts,ev bike,west,clear,235.6,200–249 km,5,24,no,delivered,5,1322.21
106,250.99,pharmacy,truck,south,cold,295.5,250+ km,6,8,no,delivered,4,1632.7206
107,250.99,pharmacy,truck,west,foggy,56.3,50–99 km,5,16,no,delivered,5,412.45
108,250.99,furniture,bike,central,stormy,114.2,100–149 km,6,16,no,delivered,5,657.46
109,250.99,furniture,scooter,north,hot,3.6,0–49 km,2,8,no,delivered,4,203.23
110,250.99,automobile parts,bike,west,stormy,146.2,100–149 km,9,8,yes,failed,2,898.65
111,250.99,automobile parts,ev bike,east,clear,85.6,50–99 km,3,8,no,delivered,4,560.07
112,250.99,groceries,ev van,south,rainy,247.9,200–249 km,9,6,yes,failed,2,1305.19
113,250.99,automobile parts,bike,south,foggy,274.8,250+ km,9,24,no,delivered,4,1376.46
114,250.99,electronics,scooter,west,clear,35.7,0–49 km,3,24,no,delivered,3,210.9
115,250.99,documents,van,central,stormy,259.3,250+ km,8,7,yes,failed,1,1427.53
116,250.99,documents,ev bike,south,clear,65.3,50–99 km,4,8,no,delivered,5,561.77
117,250.99,cosmetics,van,south,clear,93.1,50–99 km,2,3,no,delivered,3,578.17
118,250.99,pharmacy,bike,central,hot,265.8,250+ km,9,24,no,delivered,5,1425.33
119,250.99,furniture,truck,west,clear,110.2,100–149 km,4,16,no,delivered,4,620.72
120,250.99,documents,bike,west,clear,6,0–49 km,1,24,no,delivered,4,95.6674
121,250.99,furniture,truck,east,foggy,16.5,0–49 km,2,16,no,delivered,4,146.97
122,250.99,documents,ev van,north,cold,102,100–149 km,4,24,no,delivered,4,566.01
123,250.99,furniture,bike,north,rainy,265.4,250+ km,13,7,yes,delayed,3,1424.88
124,250.99,groceries,ev van,north,foggy,27.5,0–49 km,2,16,no,delivered,5,183.79
125,250.99,fragile items,truck,south,hot,59.5,50–99 km,2,16,no,delivered,3,320.87
126,250.99,cosmetics,bike,north,cold,290.2,250+ km,6,7,no,delivered,4,1588.78
127,250.99,clothing,scooter,east,rainy,124,100–149 km,8,24,no,delivered,4,740.6
128,250.99,automobile parts,scooter,north,clear,261.9,250+ km,9,16,no,delivered,4,1434.54
129,250.99,pharmacy,ev van,central,rainy,115.6,100–149 km,8,16,no,delivered,5,618.71
130,250.99,groceries,ev bike,east,hot,156,150–199 km,2,5,no,delivered,3,873.47
131,250.99,furniture,van,north,foggy,284.1,250+ km,9,24,no,delivered,4,1463.55
132,250.99,clothing,truck,north,cold,287,250+ km,10,8,yes,failed,1,1559.63
133,250.99,electronics,van,north,foggy,50.5,50–99 km,2,16,no,delivered,4,346.34
134,250.99,groceries,van,west,foggy,203.3,200–249 km,7,16,no,delivered,4,1039
135,250.99,fragile items,truck,west,hot,127.8,100–149 km,2,8,no,delivered,3,799.09
136,250.99,groceries,scooter,east,cold,45.8,0–49 km,1,16,no,delivered,5,310.66
137,250.99,groceries,ev bike,west,hot,8.7,0–49 km,0,8,no,delivered,5,245.29
138,250.99,automobile parts,ev van,north,rainy,152.8,150–199 km,6,24,no,delivered,4,909.11
139,250.99,automobile parts,ev van,south,rainy,29,0–49 km,5,8,no,delivered,4,367.67
140,250.99,furniture,scooter,north,clear,281.6,250+ km,8,24,no,delivered,3,1467.43
141,250.99,electronics,van,east,stormy,75.7,50–99 km,8,8,yes,delayed,2,602.91
142,250.99,cosmetics,scooter,north,cold,132.5,100–149 km,3,24,no,delivered,4,705.04
143,250.99,cosmetics,truck,west,rainy,218.2,200–249 km,10,24,no,delivered,5,1193
144,250.99,automobile parts,scooter,east,rainy,152.8,150–199 km,8,5,yes,delayed,2,845.38
145,250.99,automobile parts,van,west,cold,113.8,100–149 km,4,8,no,delivered,3,734.85
146,250.99,pharmacy,bike,east,clear,189.3,150–199 km,7,24,no,delivered,5,1038.84
147,250.99,electronics,truck,north,rainy,60.1,50–99 km,5,16,no,delivered,3,422.39
148,250.99,documents,truck,south,foggy,147.7,100–149 km,6,8,no,delivered,4,978.21
149,250.99,cosmetics,truck,north,cold,289,250+ km,6,16,no,delivered,4,1591.97
150,250.99,pharmacy,van,north,cold,235.6,200–249 km,7,6,yes,delayed,3,1355.05
151,250.99,groceries,ev bike,central,cold,101.1,100–149 km,4,8,no,delivered,4,634.78
152,250.99,groceries,truck,central,cold,273.9,250+ km,6,16,no,delivered,3,1497.18
153,250.99,cosmetics,scooter,north,clear,262.6,250+ km,4,24,no,delivered,4,1401.08
154,250.99,groceries,van,east,clear,82.2,50–99 km,2,16,no,delivered,3,467.43
155,250.99,clothing,truck,south,cold,280.3,250+ km,7,8,no,delivered,4,1547.37
156,250.99,automobile parts,bike,east,foggy,146.1,100–149 km,8,8,yes,delayed,2,938.86
157,250.99,groceries,van,west,clear,279.9,250+ km,12,8,yes,failed,2,1564.39
158,250.99,documents,ev van,south,stormy,165.4,150–199 km,11,8,yes,delayed,2,1056.6
159,250.99,electronics,van,central,cold,29.9,0–49 km,2,16,no,delivered,3,291.43
160,250.99,furniture,truck,north,hot,42.6,0–49 km,1,24,no,delivered,4,346.65
161,250.99,automobile parts,ev bike,east,foggy,149.9,100–149 km,10,24,no,delivered,4,819.43
162,250.99,clothing,scooter,west,rainy,8.4,0–49 km,4,24,no,delivered,4,174.48
163,250.99,documents,ev bike,east,hot,230.8,200–249 km,6,16,no,delivered,4,1244.03
164,250.99,clothing,bike,west,clear,93,50–99 km,2,3,no,delivered,4,543.11
165,250.99,electronics,van,west,clear,10.4,0–49 km,1,16,no,delivered,4,95.6674
166,250.99,pharmacy,truck,north,hot,194.9,150–199 km,4,16,no,delivered,4,981.76
167,250.99,documents,scooter,west,rainy,182.1,150–199 km,11,5,yes,delayed,2,967.28
168,250.99,cosmetics,ev bike,south,clear,38.8,0–49 km,3,24,no,delivered,4,316.67
169,250.99,groceries,bike,north,cold,55.2,50–99 km,1,16,no,delivered,3,296.34
170,250.99,pharmacy,truck,east,stormy,223.3,200–249 km,12,6,yes,failed,1,1299.58
171,250.99,electronics,truck,west,hot,46.2,0–49 km,2,2,no,delivered,5,325.49
172,250.99,documents,ev bike,south,hot,3.6,0–49 km,1,16,no,delivered,5,163.39
173,250.99,groceries,scooter,north,hot,297.1,250+ km,5,8,no,delivered,5,1615.5
174,250.99,electronics,bike,central,hot,87.8,50–99 km,3,3,no,delivered,5,512.16
175,250.99,groceries,truck,central,hot,267.4,250+ km,9,7,yes,delayed,2,1421.59
176,250.99,furniture,ev van,east,stormy,124.8,100–149 km,10,16,no,delivered,4,656.52
177,250.99,groceries,ev bike,south,clear,288.9,250+ km,6,7,no,delivered,4,1519.4
178,250.99,furniture,scooter,central,hot,129.5,100–149 km,4,16,no,delivered,4,767.02
179,250.99,fragile items,van,south,foggy,225,200–249 km,11,8,yes,delayed,3,1246.96
180,250.99,cosmetics,scooter,south,stormy,289.7,250+ km,14,24,no,delivered,5,1521.58
181,250.99,electronics,ev bike,south,rainy,85.4,50–99 km,7,24,no,delivered,4,550.21
182,250.99,pharmacy,truck,east,hot,9.9,0–49 km,0,8,no,delivered,3,240.22
183,250.99,automobile parts,van,west,hot,135.1,100–149 km,4,24,no,delivered,5,788.27
184,250.99,fragile items,bike,south,stormy,228.6,200–249 km,9,24,no,delivered,4,1159.92
185,250.99,documents,truck,north,rainy,169.6,150–199 km,9,5,yes,delayed,3,1022.32
186,250.99,fragile items,van,central,foggy,250.7,250+ km,10,7,yes,failed,2,1393.41
187,250.99,fragile items,bike,north,rainy,80.7,50–99 km,7,16,no,delivered,4,404.76
188,250.99,groceries,scooter,east,stormy,21.3,0–49 km,7,16,no,delivered,3,230.07
189,250.99,fragile items,ev bike,north,clear,67.1,50–99 km,2,16,no,delivered,4,434.23
190,250.99,pharmacy,ev bike,west,foggy,69.4,50–99 km,5,24,no,delivered,3,349.97
191,250.99,cosmetics,van,south,cold,101.2,100–149 km,2,16,no,delivered,5,624.11
192,250.99,cosmetics,ev bike,north,rainy,94.2,50–99 km,5,16,no,delivered,4,619.11
193,250.99,fragile items,ev bike,north,foggy,71,50–99 km,5,8,no,delivered,3,552.68
194,250.99,automobile parts,truck,east,foggy,37.4,0–49 km,3,16,no,delivered,4,314.08
195,250.99,fragile items,scooter,north,cold,157,150–199 km,3,16,no,delivered,4,914.09
196,250.99,groceries,van,east,cold,213.7,200–249 km,5,8,no,delivered,5,1317.81
197,250.99,pharmacy,ev bike,central,cold,272.6,250+ km,8,7,yes,delayed,2,1451.52
198,250.99,pharmacy,scooter,south,stormy,83.5,50–99 km,7,3,yes,delayed,2,539.56
199,250.99,fragile items,truck,central,foggy,198.5,150–199 km,4,5,no,delivered,5,1102.8
200,250.99,groceries,ev bike,west,hot,158.7,150–199 km,6,5,yes,failed,2,948.68
201,250.99,documents,truck,north,clear,265.3,250+ km,5,8,no,delivered,5,1521.9
202,250.99,cosmetics,truck,east,stormy,208.8,200–249 km,9,6,yes,delayed,2,1162.49
203,250.99,automobile parts,scooter,east,rainy,55.7,50–99 km,3,3,yes,failed,1,468
204,250.99,automobile parts,van,east,foggy,80.6,50–99 km,4,24,no,delivered,3,538.48
205,250.99,clothing,bike,east,stormy,187.7,150–199 km,13,8,yes,delayed,3,1058.57
206,250.99,automobile parts,bike,south,foggy,225.6,200–249 km,9,24,no,delivered,5,1196.49
207,250.99,fragile items,truck,east,rainy,24.5,0–49 km,5,2,yes,delayed,2,174.12
208,250.99,clothing,scooter,west,rainy,194.3,150–199 km,6,24,no,delivered,4,1060.03
209,250.99,electronics,van,central,foggy,52,50–99 km,6,3,yes,delayed,3,439.54
210,250.99,clothing,van,north,clear,282.9,250+ km,8,8,yes,delayed,2,1608.49
211,250.99,automobile parts,van,north,cold,289.2,250+ km,9,8,yes,failed,1,1594.42
212,250.99,cosmetics,ev bike,east,cold,257.9,250+ km,5,24,no,delivered,3,1427.26
213,250.99,pharmacy,van,east,hot,258.3,250+ km,12,8,yes,delayed,2,1519.87
214,250.99,pharmacy,ev van,central,rainy,288.4,250+ km,9,7,yes,delayed,2,1624.36
215,250.99,groceries,van,east,hot,86.5,50–99 km,3,3,no,delivered,4,593.62
216,250.99,automobile parts,ev van,south,stormy,157.3,150–199 km,9,8,yes,delayed,2,900.03
217,250.99,clothing,ev van,central,rainy,41,0–49 km,6,24,no,delivered,5,292.75
218,250.99,documents,van,central,foggy,137.4,100–149 km,7,24,no,delivered,3,770.61
219,250.99,clothing,ev bike,north,clear,32.3,0–49 km,1,24,no,delivered,4,301.24
220,250.99,fragile items,van,central,clear,207.8,200–249 km,6,6,yes,delayed,2,1209.36
221,250.99,furniture,ev van,south,foggy,23.6,0–49 km,3,24,no,delivered,4,155.2
222,250.99,cosmetics,ev bike,south,clear,258,250+ km,8,24,no,delivered,4,1403.76
223,250.99,automobile parts,van,north,cold,255.6,250+ km,7,8,no,delivered,5,1434.79
224,250.99,clothing,scooter,north,cold,289.7,250+ km,5,24,no,delivered,5,1505.89
225,250.99,automobile parts,ev van,north,rainy,9.1,0–49 km,5,2,yes,delayed,3,232.45
226,250.99,clothing,truck,west,foggy,245.8,200–249 km,5,24,no,delivered,5,1241.57
227,250.99,cosmetics,ev bike,central,hot,88.6,50–99 km,3,16,no,delivered,3,469.01
228,250.99,cosmetics,ev bike,central,rainy,59.6,50–99 km,7,24,no,delivered,4,360.52
229,250.99,fragile items,bike,east,hot,225.4,200–249 km,5,6,no,delivered,5,1243.9
230,250.99,clothing,scooter,south,clear,36.9,0–49 km,2,2,yes,delayed,3,370.85
231,250.99,automobile parts,ev van,central,stormy,262.9,250+ km,16,8,yes,delayed,2,1509.69
232,250.99,fragile items,scooter,central,clear,262.7,250+ km,5,24,no,delivered,5,1399.6
233,250.99,electronics,ev van,east,hot,167.2,150–199 km,7,16,no,delivered,3,943.73
234,250.99,pharmacy,van,south,hot,127.4,100–149 km,3,4,no,delivered,3,697.47
235,250.99,fragile items,ev van,central,foggy,267,250+ km,11,24,no,delivered,3,1414.47
236,250.99,furniture,truck,south,cold,214,200–249 km,7,8,no,delivered,4,1273.02
237,250.99,groceries,bike,east,stormy,10.6,0–49 km,5,8,no,delivered,5,281.04
238,250.99,documents,scooter,central,rainy,124.2,100–149 km,7,8,no,delivered,5,724.06
239,250.99,furniture,ev van,north,stormy,129.5,100–149 km,7,16,no,delivered,4,687.64
240,250.99,automobile parts,scooter,south,foggy,257,250+ km,7,7,yes,delayed,2,1367.49
241,250.99,pharmacy,scooter,south,hot,264.9,250+ km,9,16,no,delivered,5,1453.98
242,250.99,cosmetics,bike,west,stormy,163.5,150–199 km,8,16,no,delivered,5,876.99
243,250.99,fragile items,truck,north,hot,34.6,0–49 km,3,8,no,delivered,4,415.26
244,250.99,fragile items,ev bike,north,rainy,183.1,150–199 km,13,16,no,delivered,4,1029.95
245,250.99,groceries,ev van,south,clear,138.7,100–149 km,3,24,no,delivered,5,822.95
246,250.99,cosmetics,ev van,south,foggy,127.5,100–149 km,6,8,no,delivered,5,863.26
247,250.99,documents,ev van,west,clear,295.3,250+ km,10,24,no,delivered,4,1500.68
248,250.99,pharmacy,ev van,central,foggy,297.1,250+ km,12,7,yes,delayed,3,1551.92
249,250.99,documents,truck,east,foggy,123.5,100–149 km,8,8,yes,delayed,2,805.61
250,250.99,automobile parts,ev bike,south,stormy,280.4,250+ km,11,24,no,delivered,4,1413.34
251,251,cosmetics,truck,west,hot,74.1,50–99 km,3,3,yes,failed,1,506.42
252,252,pharmacy,bike,west,cold,58.9,50–99 km,2,3,no,delivered,3,380.41
253,253,furniture,bike,north,clear,197.4,150–199 km,8,24,no,delivered,5,1129.26
254,254,furniture,bike,central,foggy,150.6,150–199 km,7,8,no,delivered,4,920.2
255,255,fragile items,van,east,hot,224,200–249 km,4,16,no,delivered,3,1214.35
256,256,documents,van,west,rainy,33.9,0–49 km,4,16,no,delivered,5,259.23
257,257,fragile items,truck,north,cold,145.2,100–149 km,5,16,no,delivered,3,864.51
258,258,documents,truck,central,stormy,204.9,200–249 km,9,16,no,delivered,4,1147.95
259,259,clothing,van,central,foggy,150.8,150–199 km,6,24,no,delivered,3,872.92
260,260,cosmetics,ev bike,central,clear,86.6,50–99 km,3,24,no,delivered,5,481.51
261,261,cosmetics,ev van,east,stormy,150.7,150–199 km,8,24,no,delivered,4,806.18
262,262,groceries,scooter,north,clear,176,150–199 km,5,16,no,delivered,4,936.76
263,263,pharmacy,scooter,east,rainy,165.6,150–199 km,7,24,no,delivered,3,884.07
264,264,cosmetics,ev van,west,foggy,170.2,150–199 km,5,16,no,delivered,5,983.36
265,265,fragile items,ev van,east,clear,133.4,100–149 km,4,4,yes,failed,2,789.99
266,266,automobile parts,scooter,east,clear,100,100–149 km,4,8,no,delivered,3,700.02
267,267,fragile items,truck,south,cold,22.1,0–49 km,1,16,no,delivered,5,144.91
268,268,groceries,truck,west,foggy,14.9,0–49 km,4,16,no,delivered,3,222.55
269,269,documents,truck,east,clear,160.6,150–199 km,6,24,no,delivered,4,947.24
270,270,electronics,ev van,west,rainy,257.8,250+ km,7,7,yes,failed,1,1429.84
271,271,pharmacy,bike,north,stormy,235.9,200–249 km,11,24,no,delivered,3,1317.65
272,272,pharmacy,truck,south,cold,161.3,150–199 km,5,5,no,delivered,3,981.72
273,273,cosmetics,scooter,central,foggy,192.2,150–199 km,7,5,yes,delayed,2,1025.55
274,274,electronics,ev bike,west,rainy,293,250+ km,9,16,no,delivered,5,1610.5
275,275,cosmetics,truck,west,foggy,290.2,250+ km,11,8,yes,delayed,3,1596.63
276,276,fragile items,ev bike,east,hot,297.1,250+ km,5,24,no,delivered,4,1523.17
277,277,cosmetics,ev van,east,clear,5.9,0–49 km,1,2,no,delivered,4,228.09
278,278,furniture,ev bike,west,stormy,191.2,150–199 km,8,8,yes,delayed,3,1071.9
279,279,electronics,ev van,west,foggy,223.8,200–249 km,8,8,yes,delayed,2,1315.45
280,280,furniture,ev bike,east,cold,31.8,0–49 km,2,16,no,delivered,5,298.92
281,281,pharmacy,truck,central,foggy,109.6,100–149 km,5,24,no,delivered,5,696.68
282,282,pharmacy,van,south,stormy,50.4,50–99 km,9,16,no,delivered,5,383.1
283,283,pharmacy,van,south,hot,116,100–149 km,3,16,no,delivered,4,715.12
284,284,furniture,van,west,hot,132.9,100–149 km,3,24,no,delivered,5,736.65
285,285,furniture,truck,west,clear,54.3,50–99 km,2,8,no,delivered,5,515.02
286,286,documents,ev bike,east,foggy,149.3,100–149 km,6,8,no,delivered,3,876.11
287,287,pharmacy,van,central,clear,57.1,50–99 km,4,16,no,delivered,5,324.23
288,288,documents,truck,central,clear,276.8,250+ km,12,24,no,delivered,4,1416.07
289,289,furniture,van,south,foggy,51.7,50–99 km,5,24,no,delivered,5,362.96
290,290,groceries,truck,west,foggy,154.3,150–199 km,4,16,no,delivered,5,777.23
291,291,cosmetics,ev bike,central,hot,103.9,100–149 km,4,24,no,delivered,5,553.7
292,292,automobile parts,van,central,hot,127.4,100–149 km,6,4,yes,delayed,2,755.16
293,293,pharmacy,van,east,cold,117.4,100–149 km,3,4,no,delivered,4,692.08
294,294,clothing,scooter,west,rainy,293.6,250+ km,10,8,yes,failed,1,1569.17
295,295,cosmetics,van,west,stormy,199.4,150–199 km,8,5,yes,delayed,2,1082.13
296,296,documents,van,central,clear,15.6,0–49 km,1,16,no,delivered,5,95.6674
297,297,electronics,bike,south,foggy,250.7,250+ km,7,24,no,delivered,4,1288.9
298,298,clothing,ev van,north,clear,164.1,150–199 km,2,8,no,delivered,5,997.9
299,299,automobile parts,ev van,west,cold,35.8,0–49 km,3,8,no,delivered,4,333.63
300,300,groceries,scooter,west,stormy,142,100–149 km,6,8,no,delivered,5,933.84
301,301,clothing,ev van,central,clear,40.9,0–49 km,2,24,no,delivered,5,261.62
302,302,clothing,scooter,north,foggy,167.7,150–199 km,7,5,yes,delayed,3,948.77
303,303,pharmacy,van,north,hot,111.8,100–149 km,3,16,no,delivered,4,606.67
304,304,cosmetics,bike,east,hot,21,0–49 km,0,8,no,delivered,4,229
